parsed_kigo,parsed_haiku
蛍,人 殺す 我 か も 知ら ず 飛ぶ 蛍
新涼 や,新涼 や 豆腐 驚く 唐辛子
寒 雀,寒 雀 身 を 細う し て 闘 へ り
雪,オリオン の 眞 下 春 立つ 雪 の 宿
打ち水,立山 の かぶさる 町 や 水 を 打つ
初雪,うし ろ より 初雪 降れ り 夜 の 町
雪山,雪山 に 雪 の 降り 居る 夕 か な
春 星,春 星 や 女性 浅間 は 夜 も 寝 ね ず
蛾,う ら が へし 又 う ら が へし 大 蛾 掃く
深雪,鳥 とぶ や 深雪 が かくす 飛騨 の 国
山桃,山桃 の 日陰 と 知 ら で 通り けり
芽 枯 るる,茅 枯れ て み づがき 山 は 蒼天 に 入る
霜,霜 つよし 蓮華 と ひらく 八 ヶ 嶽
凍 つ,駒ケ岳 凍て て 巌 を 落し けり
雪,奧 白根 か の 世 の 雪 を かがやかす
秋風,秋風 の 吹き くる 方 に 帰る なり
帰る 雁,かり が ね の あまりに 高く 帰る なり
野菊,頂上 や 殊 に 野菊 の 吹か れ 居り
野分,山川 に 高浪 も 見 し 野分 か な
月,山畑 に 月 すさまじく なり に けり
追儺,山国 の 闇 恐ろしき 追儺 か な
朧,風呂 の 戸 に せまり て 谷 の 朧 か な
蝶,高々 と 蝶 こ ゆる 谷 の 深 さ か な
花,花影 婆 娑 と 踏む べく あり ぬ 岨 の 月
猫 の 恋,山国 の 暗 すさまじき や 猫 の 恋
鮎,山 の 色 釣り上げ し 鮎 に 動く か な
蛍,提灯 を 螢 が 襲 ふ 谷 を 来り
鹿 火屋,淋し さ に また 銅鑼 うつ や 鹿 火屋 守
露,蔓 踏ん で 一山 の 露 動き けり
鷲,磯 鷲 は かならず 巌 に とまり けり
夏 近し,磐石 を ぬく 燈台 や 夏 近し
秋風,秋風 や 模様 のち が ふ 皿 二つ
今朝 の 秋,けさ 秋 の 一 帆 生み ぬ 中 の 海
秋 の 風,己 が 庵 に 火 かけ て 見 むや 秋 の 風
雁,芭蕉 高 し 雁 列 に 日 の あり どころ
雁,首 のべ て 日 を 見る 雁 や 蘆 の 中
短 日,短 日 の 梢 微塵 に くれ に けり
二月,切株 に 鴬 と まる 二月 か な
秋 蝶,秋 蝶 の 驚き やすき つばさ か な
雪,雪 に 来 て 見事 な 鳥 の だまり 居る
春 の 霙,もろもろ の 木 に 降る 春 の 霙 か な
春 の 水,春 の 水 岸 へ 岸 へ と 夕 か な
鮎,鮎 の 背 に 一抹 の 朱 の あり し ごとし
馬酔木,来し かたや 馬酔木 咲く 野 の 日 の ひかり
蟇,蟇 ない て 唐招提寺 春 いづ こ
馬酔木,馬酔木 咲く 金堂 の 扉 に わが 触れ ぬ
馬酔木,馬酔木 より 低き 門 なり 浄瑠璃寺
蕨,金色 の 佛 ぞ お はす 蕨 か な
梨 の 花,梨 咲く と 葛飾 の 野 は と の 曇り
連翹,連翹 や 真間 の 里 びと 垣 を 結 はず
桃 の 花,葛飾 や 桃 の 籬 も 水田 べり
蘆 の 角,やや あり て 汽艇 の 波 や 蘆 の 角
畦 焼,畦 焼 に 多摩 の 横山 暮れ 去ん ぬ
鴬,鴬 や 前山 いよよ 雨 の 中
ぶらんこ,鞦韆 や 春 の 山彦 ほしい まま
蚕 飼,高嶺 星 蚕 飼 の 村 は 寝 し づまり
雛,天平 の を とめ ぞ 立てる 雛 か な
夕 東風,夕 東風 や 海 の 船 ゐる 隅田川
山 焼く,山 焼く 火 檜原 に 来れ ば まのあたり
春雷,春雷 や 暗き 廚 の 桜 鯛
茶 摘,むさし の も はて なる 丘 の 茶 摘 か な
葭 切,葭 切 の を ちの 鋭 声 や 朝 ぐもり
羽 抜鶏,羽 抜鶏 童 に 追 はれ 蘆 の 中
浮葉,葛飾 や 浮葉 の しるき ひと の 門
朴 の 花,岨 高く 雨雲 行く や 朴 の 花
朴 の 花,朴 の 咲く 淵 に こ だます 機屋 か な
遠泳,遠泳 や 高波 越 ゆる 一 の 列
新樹,夜 の 雲 に 噴煙 うつる 新 樹 か な
帰省,なつかし や 帰省 の 馬車 に 山 の 蝶
帰省,桑 の 葉 の 照る に 堪へ ゆく 帰省 か な
麦笛,馭者 若し 麦笛 噛ん で 来り けり
ハンモック,山彦 の ゐ て さびし さ や ハンモツク
鯔,鯔 はね て 河面 暗し 蚊 喰鳥
苺,青春 の 過 ぎにしこゝろ 苺 喰 ふ
蛇苺,ふるさと の 沼 の に ほ ひ や 蛇苺
コスモス,コスモス を 離れ し 蝶 に 谿 深し
霧,白樺 に 月 照り つつ も 馬 柵 の 霧
啄木鳥,啄木鳥 や 落葉 を いそぐ 牧 の 木々
雲海,雲海 や 鷹 の まひ ゐる 嶺 ひとつ
良夜,蓮 の 中 羽 搏 つ もの ある 良夜 か な
鯊 釣,鯊 釣 や 不 二 暮れ そめ て 手 を 洗 ふ
貝 打,ばい 打 や 灯 ともり 給 ふ 観世音
ち ちろ 虫,たのし さ は ふえ し 蔵書 に ち ちろ 虫
馬追,ふるさと や 馬追 鳴ける 風 の 中
獅子 舞,獅子舞 は 入日 の 富士 に 手 を かざす
冬ざれ,冬ざれ や ころ ろ と 鳴ける 檻 の 鶴
落葉,むさし の の 空 真青 なる 落葉 か な
火事,寄生木 や しづか に 移る 火事 の 雲
野火,国原 や 野火 の 走り 火 よもすがら
春 惜しむ,春 惜 むおんすがたこそとこしなへ
椿,うつし 世 に 浄土 の 椿 咲く す がた
朧夜,おぼろ 夜 の 潮騒 つくる もの ぞ これ
行 春,行 春 や ただ 照り 給 ふ 厨子 の 中
新樹,焼岳 の こよ ひも 燃 ゆる 新 樹 か な
蓮,利根川 の 古き みな と の 蓮 か な
鮫,日輪 の か が よ ふ 潮 の 鮫 を あ ぐ
霧,白樺 を 幽か に 霧 の ゆく 音 か
柿,風雲 の 秩父 の 柿 は 皆 尖る
天使 魚,天使 魚 も い さ か ひす なり さびしく て
蜩,蜩 や 奥 の 青 嶺 に うち ひびく
菊,わが いのち 菊 に むか ひ て しづか なる
寒 鯉,寒 鯉 は しづか なる か な 鰭 を 垂れ
寒 鯉,寒 鯉 を 真白し と 見れ ば 鰭 の 藍
白菊,白菊 の 白妙 甕 に あふれ ける
冬 田,ぬる る もの 冬 田 に 無 かり 雨 きたる
朴 の 花,壺 に し て 深山 の 朴 の 花 ひらく
夏山,夏山 を 統べ て 槍ケ岳 真青 なり
雪渓,雪渓 を かなし と 見 たり 夜 も ひかる
時雨,時雨 ふる みちのく に 大き 佛 あり
向日葵,向日葵 の 空 か が や けり 波 の 群
暮春,軋り 鳴る 暮春 の 扉 なり 押し ひらく
初日,初日 さす 松 は むさし 野 に のこる 松
大 瑠璃,この 沢 や いま 大 瑠璃鳥 の こ ゑひとつ
良夜,門 と ぢ て 良夜 の 石 と 我 は 居り
福寿草,青 丹 よし 寧楽 の 墨 する 福寿草
永き 日,永き 日 や なまけ て 写す 壺 ひとつ
落葉,落葉 踏む 今日 の 明る さ 明日 も あれ
冬 菊,冬 菊 の まと ふ は おの が ひかり のみ
秋 の 風,吊橋 や 百 歩 の 宙 の 秋 の 風
紅梅,伊豆 の 海 や 紅梅 の 上 に 波 ながれ
菜の花,べたべた に 田 も 菜の花 も 照り み だ る
鰯雲,鰯雲 こころ の 波 の 末 消え て
萩 の 風,萩 の 風 何 か 急か るる 何 なら む
麦秋,麦秋 の 中 なる が 悲し 聖 廃虚
薔薇,薔薇 喰 ふ 虫 聖母 見 た ま ふ 高き より
露,露け さ の 弥 撒 の を はり は ひざ ま づく
綿 虫,綿 虫 や むら さき 澄め る 仔牛 の 眼
蒲公英,碧 天 や 喜 雨 亭 蒲公英 五 百 輪
山桜,山桜 雪嶺 天 に 声 も なし
湯 婆,湯 婆 や 忘 じ て と ほ き 医師 の 業
秋風,妻 病め り 秋風 門 を ひらく 音
柿,喜 雨 亭 翁 を 侮る 鵯 の 柿 に 居り
春 の 鶏,疾風 来 て 畦 に 倒 るる 春 の 鶏
白樺 の 花,牧 開 白樺 花 を 了 り けり
滝,瀧 落ち て 群青 世界 と どろ けり
雁 の 空,雁 の 空 大風 ひびきわたり けり
地虫 出 づ,菓子 買 ひ に 妻 を い ざなふ 地虫 の 夜
青嵐,とまり木 に 老い ける 鷲 や 青嵐
秋風,最上川 秋風 簗 に 吹き つど ふ
芋煮,月山 の 見 ゆ と 芋 煮 て あそび けり
年忘れ,隅田川 見 て 刻 待 てり 年 わすれ
蓬莱,蓬莱 や 東 に ひらく 伊豆 の 海
行く 春,行く 春 や 娘 首 の 髪 の 艶
朝寝,朝寝 せり 孟 浩然 を 始祖 として
月,月 いで て 薔薇 の たそがれ なほ つづく
蜩,ひぐらし や 熊野 へ し づむ 山 幾重
十 六 夜,十 六 夜 の 竹 ほのめく に を はり けり
石蕗 の 花,江 の 奥 に ふかき 江 澄 め り 石蕗 の 花
春 睡,春 睡 やわ が 世 の 外 の 医学 会
ナイター,ナイター の いみ じき 奇蹟 現 じ けり
狐,吉次 越 狐 の 道 と なり て 絶 ゆ
春一番,春一番 武蔵野 の 池波 あげ て
春暁,春暁 の 底抜け 降り を よろこべ り
釣瓶落し,釣瓶落し とい へ ど 光芒 しづか なり
眠る 山,眠る 山 或 日 は 富士 を 重ね けり
羽子板,羽子板 や 子 は ま ぼろし の すみ だ 川
冬 苺,餘生 なほ なす こと あら む 冬 苺
蚊 喰鳥,ナイター の ここ が 勝負 や 蚊 喰鳥
鯊,てんぷら や すでに 鰭 張る 今年 鯊
凍 つ,去年 の 鶴 去年 の ところ に 凍て に けり
双六,雙六 の 賽 振り 奥 の 細道 へ
実 朝 忌,頼 家 も はか な かり し が 実 朝 忌
牧水 忌,酒 しら ぬ 我 は 旅 のみ 牧水 忌
年 越 蕎麦,宵寝 し て 年 越 蕎麦 に 起こさ るる
年 越 蕎麦,年 越 蕎麦 待て ば しきりに 救急 車
六月,六月 や あらく 塩 ふる 磯 料理
紫陽花,紫陽花 や 水辺 の 夕餉 早き か な
初 鴉,ばらばら に 飛ん で 向 ふ へ 初 鴉
春 七草,あ を あ を と 春 七草 の 売れのこり
探梅,探梅 や 枝 の さき なる 梅 の 花
蝌蚪,流れ き て 次 の 屯 へ 蝌蚪 一つ
桃 の 花,野 に 出れ ば ひとみ な やさし 桃 の 花
春 の 雪,小 を ん な の 髪 に 大きな 春 の 雪
春 の 雪,春 の 雪 波 の 如く に 塀 を こ ゆ
春 塵,春 塵 や 観世音寺 の 観世音
麦 踏む,歩み 来し 人 麦 踏 を はじめ けり
椿,人 仰ぐ 我家 の 椿 仰ぎ けり
草 の 芽,甘草 の 芽 の と びとびのひとならび
朝顔,朝顔 の 双葉 の どこ か 濡れ ゐ たる
蓬,ひざ ま づき 蓬 の 中 に 摘み に けり
摘草,摘草 の 人 また 立ち て 歩き けり
蝶,風 吹い て 蝶々 迅 く 飛び に けり
青 麦,百姓 の 血筋 の 吾 に 麦 青む
辛夷,真白 に 行手 う づめて 山 辛夷
蝶,方丈 の 大 庇 より 春 の 蝶
春,ジプシー に 占 は せ を り 窓 の 春
花御堂,ある 寺 の 障子 ほそめ に 花御堂
花,水の上 に 花 ひろびろ と 一 枝 か な
花 冷,花 冷 の 闇 に あら はれ 篝 守
牡丹,ひる が へる 葉 に 沈み たる 牡丹 か な
牡丹,夜 の 色 に 沈み ゆく なり 大 牡丹
蜘蛛,くも の 糸 一 す ぢ よぎる 百 合 の 前
甲虫,ひつ ぱれる 糸 まつ すぐ や 甲虫
蒲 の 穂,大いなる 蒲 の 穂 わ た の 通る なり
代掻き,代 馬 の 泥 の 鞭 あと 一 二 本
蟻地獄,蟻地獄 松風 を 聞く ばかり なり
早乙女,早乙女 の 夕べ の 水 に ちらばり て
場 羽 蝶,揚羽蝶 おいらん 草 に ぶら下がる
天道虫,翅 わ つ て てん た う 虫 の 飛び いづる
菊,くら がり に 供養 の 菊 を 売り に けり
踊,づか づか と 来 て 踊子 に さ さ やける
灯 籠,生涯 に ま はり 燈籠 の 句 一つ
蓼 の 花,食べ て ゐる 牛 の 口 より 蓼 の 花
露,露け さ や 月 の うつれる 革 蒲団
雁,雁 の 声 の しばらく 空 に 満ち
月,夕 月 に 甚だ 長し 御者 の 鞭
月,三日月 の 沈む 弥彦 の 裏 は 海
鰯雲,鰯雲 はなやぐ 月 の あたり か な
秋 の 暮,まつ すぐ の 道 に 出 で けり 秋 の 暮
秋風,秋風 やく わら ん と 鳴り し 幡 の 鈴
桃,桃 青し 赤き ところ の 少し あり
落穂,夕ぐれ の 葛飾 道 の 落穂 か な
芦,また 一 人 遠く の 芦 を 刈り はじ む
芦刈,芦刈 の 天 を 仰い で 梳る
柊 の 花,柊 の 花 一 本 の 香り か な
初 鴨,鴨 渡る 明らか に また 明らか に
浮寝 鳥,水尾 ひい て 離 るる 一つ 浮寝 鳥
手袋,漂 へる 手袋 の ある 運河 か な
榾,大 榾 を か へ せ ば 裏 は 一 面 火
時雨,翠黛 の 時雨 いよいよ はなやか に
春 の 月,春 の 月 あり し ところ に 梅雨 の 月
端居,端居 し て ただ 居る 父 の 恐ろしき
雪,雪片 の つれ 立ち て くる 深 空 か な
冬 波,冬 波 の 百 千 万 の 皆 起伏
芭蕉,玉 解い て 即ち 高き 芭蕉 か な
蛙,明日 は また 明日 の 日程 夕 蛙
公魚,雷魚 殖 ゆ 公魚 など は 悲しから ん
片栗 の 花,片栗 の 一つ の 花 の 花盛り
元日,元日 は 大 吹雪 と や 潔し
雪,雪明り 一切経 を 蔵 し たり
春潮,美しき 春潮 の 航 一 時間
落花,空 を ゆく 一 かたまり の 花吹雪
喜 雨,ふるさと の 喜 雨 の 山王 村役場
梅雨,大 梅雨 の 茫茫 と 沼 らしき もの
鰤,女 あり 父 は 魚津 の 鰤 の 漁夫
冬 籠,夫唱婦随 婦 唱夫 随 や 冬 籠
七草,七 種 の はじめ の 芹 ぞ めでたけれ
霧,かたまり て 通る 霧 あり 霧 の 中
月,月 の 王 みまかり し より 国 亡ぶ
火取虫,虫 の 火 に 読み たかぶり ぬ 耳 し ひ 児
連雀,緋 連雀 一斉 に 立つ て もれ も なし
初詣,口 開い て 矢 大臣 よし 初詣
雪 解,に ぎはしき 雪 解 雫 の 伽藍 か な
繭,かげ ぼ ふし こもり ゐる な りう すら 繭
鴨,を かし さ よ 銃創 吹け ば 鴨 の 陰
五月雨,さみだれ の あま だれ ばかり 浮 御堂
芋,星 の とぶ もの音 も なし 芋 の 上
秋 の 谷,秋 の 谷 と うんと 銃 の 谺 か な
梅,しろし ろ と 畠 の 中 の 梅 一 本
和布,大阪 の 煙 おそろし 和布 売
案山子,案山子 翁 あ ち 見 こ ち 見や 芋 嵐
凍 鶴,凍 鶴 が 羽根 ひろげ たる めでた さ よ
春 の 月,国原 や 桑 の しもと に 春 の 月
狐火,狐火 や まこと 顔 に も 一くさり
立春,立春 の 鳶 しばし 在り 殿 づくり
探梅,探梅 やみ さ さ ぎどころたもとほり
虎 落笛,夕 づつ の 光り ぬ 呆 きぬ 虎 落笛
虫,露 の 虫 大いなる もの を まり に けり
初 富士,初富 士 を 隠さ ふ べし や 深 庇
月,け ふ の 月 長い すすき を 活け に けり
十 六 夜,十 六 夜 の きのふ と も なく 照らし けり
無月,ガラス 越し 雨 が とびつく 無月 か な
万 両,座 について 庭 の 万 両 憑 き に けり
飾,かり そ め に 住みなす 飾 かかり けり
道 おし え,道 作り みな ひだるし や みち を し へ
障子,ふるさと や 障子 に しみ て 繭 の 尿
生 身魂,古里 に ふたり そろ ひ て 生 身魂
泉,紺青 の 蟹 の さみしき 泉 か な
蘆 火,うつくしき 蘆 火 一つ や 暮 の 原
誘蛾灯,鬱々 と 蛾 を 獲 つつ ある 誘蛾灯
花火,住吉 に すみなす 空 は 花火 か な
河豚,河豚 宿 は 此許 よ 此許 よ と 灯り を り
後 の 月,目 つむれ ば 蔵王 権現 後 の 月
お花畑,大空 に 長き 能登 あり お花畑
涅槃会,一 の 字 に 遠目 に 涅槃 し た ま へる
籾,籾 かゆし 大和 を とめ は 帯 を 解く
落椿,鵯 の 言葉 わかり て 椿 落つ
鴛鴦,鴛鴦 に 月 の ひかり の かぶさり 来
神楽,神楽 笛 ひよ ろ ひ よろい へ ば 人 急ぐ
芝刈,まつ さ を な 微塵 とびたち 芝刈 器
早春,早春 の 鳶 を 放ち て 宝 寺
残暑,朝夕 が どか と よろしき 残暑 か な
鮎,激流 を 鮎 の 竿 にて 撫で て を り
端居,端居 し て 濁世 なかなか おもしろ や
毛糸,ルノアル の 女 に 毛糸 編ま せ た し
蛇,水 ゆれ て 鳳凰堂 へ 蛇 の 首
芽 組む,芽ぐむ か と 大きな 幹 を 撫で めぐり
臘八,臘八 や 雪 を いそげる 四方 の 嶺
牡丹,牡丹 百 二 百 三 百 門 一つ
蝶,乱心 の ごとき 真昼 の 蝶 を 見よ
月,月 の 山大 国 主命 か な
春光,磔 像 の 全身 春 の 光 あり
鮟鱇,鮟鱇 の よ だれ の 中 の 小 海老 か な
初湯,ひと の 陰 玉 と ぞ し づむ 初湯 か な
山焼き,わが ゆめ に あり し が ごとき 山火 と も
踊,手のひら を か へ せ ば すすむ 踊 か な
春着,一軒家 より 色 が 出 て 春着 の 児
寒波,寒波 急 日本 は 細く なり し まま
山桜,山 又 山山 桜 又 山桜
外套,あ を ぞ ら に 外套 つるし 古着 市
実 朝 忌,しらべ よき 歌 を 妬む や 実 朝 忌
萩,茲 十 日 萩 大名 と 謂 ひつ べし
野分,奈良 坂 の 葛 狂 ほしき 野分 か な
蓑虫,蓑虫 の 此奴 は 萩 の 花衣
案山子,モジリアニ の 女 の 顔 の 案山子 か な
夏,か が やける 臀 を ぬぐ へり 海女 の 夏
蚊,こんな 蚊 が 名 恵 上人 を 螫 し に けむ
白魚,白魚 の ま ことし や か に 魂 ふるふ
春 の 空,春 空 に 虚子 説法 図 描き けり
雷,はた た 神 夜半 の 大山 現れ た ま ふ
金盞花,金盞花 淡路 一 国 晴れ に けり
鴨,太き 尻 ざぶんと 鴨 の 降り に けり
種芋,武者 さん の 画 に は なり さ う 種 の 薯
赤 の まま,赤 の まま 天平 雲 は 天 の もの
鯥五 郎,むつ五郎 むつ 十 郎 の 泥試合
浮い て こい,浮い て こい 浮い て お 尻 を 向け に けり
雛,土 不 踏 なけれ ば 雛 倒れ けり
鮟鱇,鮟鱇 の よ だれ の 先 が とまり けり
威 銃,威 銃 大津皇子 は 天 に あり
鷹,鷹 の 目 は 青 畝 を 凝視 せ ざり けり
初湯,柔肌 と 石 と 触れ たる 初湯 か な
